סמי אבו שחאדה,1975,Full
משה אבוטבול,1965,Full
אלי אבידר,1964,Partial
יולי יואל אדלשטיין,1958,Full
אמיר אוחנה,1976,Full
ניר אורבך,1970,Full
ינון אזולאי,1979,Full
ישראל אייכלר,1955,Full
קארין אלהרר,1977,Partial
סעיד אלחרומי,1972,Partial
זאב אלקין,1971,Partial
דוד אמסלם,1960,Full
אופיר אקוניס,1973,Full
משה ארבל,1983,Full
יעקב אשר,1965,Full
זאב בנימין  בגין,1943,Full
אוריאל בוסו,1973,Full
מישל בוסקילה,1966,Partial
ענבר בזק,1974,Partial
חיים ביטון,1978,Full
מיכאל מרדכי ביטון,1970,Full
דוד ביטן,1960,Full
ולדימיר בליאק,1973,Full
רם בן ברק,1958,Full
איתמר בן גביר,1976,Full
יואב בן צור,1958,Full
מירב  בן-ארי,1975,Full
נפתלי בנט,1972,Full
אורנה ברביבאי,1962,Partial
אלינה ברדץ' יאלוב,1982,Partial
אליהו ברוכי,1976,Partial
עמר בר-לב,1953,Partial
קרן ברק,1972,Full
ניר ברקת,1959,Full
יאיר גולן,1962,Full
מאי גולן,1986,Full
איתן גינזבורג,1977,Full
יואב גלנט,1958,Full
גילה גמליאל,1974,Full
מאזן גנאים,1956,Full
בני גנץ,1959,Full
משה גפני,1952,Full
סימון דוידסון,1970,Partial
אבי דיכטר,1952,Full
גלית דיסטל אטבריאן,1971,Full
אריה מכלוף דרעי,1959,Partial
צבי האוזר,1968,Partial
ניצן הורוביץ,1965,Partial
צחי הנגבי,1957,Full
יועז הנדל,1975,Partial
שרן מרים השכל,1984,Full
מיכל מרים וולדיגר,1969,Full
רות וסרמן לנדה,1976,Partial
מכלוף מיקי זוהר,1980,Full
תמר זנדברג,1976,Partial
אימאן ח'טיב יאסין,1964,Partial
ווליד טאהא,1968,Full
בועז טופורובסקי,1980,Full
משה טור פז,1972,Partial
אחמד טיבי,1958,Full
יוסף טייב,1981,Partial
אלון טל,1960,Partial
יעקב טסלר,1973,Partial
חילי טרופר,1978,Partial
דסטה גדי יברקן,1981,Partial
מאיר יצחק-הלוי,1953,Partial
אלי אליהו כהן,1972,Full
מאיר כהן,1955,Full
מירב כהן,1983,Partial
מתן כהנא,1972,Partial
יום טוב חי כלפון,1986,Partial
עופר כסיף,1964,Full
אופיר כץ,1980,Full
חיים כץ,1947,Full
ישראל כץ,1955,Full
רון כץ,1985,Full
יוראי להב הרצנו,1988,Full
מיקי לוי,1951,Full
אורלי לוי אבקסיס,1973,Full
יריב לוין,1969,Full
נעמה לזימי,1986,Partial
אביגדור ליברמן,1958,Partial
יעקב ליצמן,1948,Partial
גבי לסקי,1967,Partial
יאיר לפיד,1963,Full
לימור מגן תלם,1971,Partial
אמילי חיה מואטי,1980,Full
פטין מולא,1960,Full
טטיאנה מזרסקי,1976,Partial
מרב מיכאלי,1966,Full
יוליה מלינובסקי,1975,Full
מיכאל  מלכיאלי,1982,Full
אביגדור מעוז,1956,Full
אורי מקלב,1957,Partial
אבתיסאם מראענה,1975,Full
יעקב מרגי,1960,Full
מופיד מרעי,1959,Partial
בנימין נתניהו,1949,Full
יואב סגלוביץ',1959,Full
יבגני סובה,1980,Full
אופיר סופר,1974,Full
אורית סטרוק,1960,Full
עידית סילמן,1980,Partial
עלי סלאלחה,1952,Partial
בצלאל סמוטריץ',1980,Full
אוסאמה סעדי,1963,Full
גדעון סער,1966,Partial
מנסור עבאס,1974,Full
איימן עודה,1975,Full
חוה אתי עטייה,1960,Full
חמד עמאר,1964,Partial
עודד פורר,1977,Partial
יצחק זאב פינדרוס,1971,Full
שירלי פינטו קדוש,1989,Partial
טלי פלוסקוב,1962,Partial
מאיר פרוש,1955,Full
עיסאווי פריג',1963,Partial
יסמין פרידמן,1973,Partial
אורית פרקש הכהן,1970,Partial
אביר קארה,1983,Full
אלכס קושניר,1978,Full
יואב קיש,1968,Full
גלעד קריב,1973,Full
שלמה קרעי,1982,Full
מירי מרים רגב,1965,Full
מיכל רוזין,1969,Partial
שמחה רוטמן,1980,Full
עידן רול,1984,Partial
יעל רון בן משה,1978,Full
שרון רופא אופיר,1970,Partial
מוסי רז,1965,Full
יואל רזבוזוב,1980,Partial
אפרת רייטן מרום,1972,Full
ג'ידא רינאוי-זועבי,1972,Full
יפעת שאשא ביטון,1973,Full
אלון שוסטר,1957,Full
יובל שטייניץ,1958,Full
קטי קטרין שטרית,1960,Full
אלעזר שטרן,1956,Full
אורנה שטרקמן,1982,Partial
יוסף שיין,1956,Partial
עמיחי שיקלי,1981,Partial
מיכל שיר סגמן,1979,Partial
רם שפע,1985,Full
נירה שפק,1966,Full
אילת שקד,1976,Partial
עאידה תומא סלימאן,1964,Full
פנינה תמנו,1981,Partial
